category,accuracy,grp_size,gt_id,run_id
gt_0,0.6666666666666666,9,4248028d-d89a-4e2-GT_TOPIC_gt_0,4248028d-d89a-4e2
gt_3,0.9995499549954996,2222,4248028d-d89a-4e2-GT_TOPIC_gt_3,4248028d-d89a-4e2
gt_7,1.0,5,4248028d-d89a-4e2-GT_TOPIC_gt_7,4248028d-d89a-4e2
gt_9,0.9994400895856663,1786,4248028d-d89a-4e2-GT_TOPIC_gt_9,4248028d-d89a-4e2
gt_6,0.7142857142857143,7,4248028d-d89a-4e2-GT_TOPIC_gt_6,4248028d-d89a-4e2
gt_5,0.5,4,4248028d-d89a-4e2-GT_TOPIC_gt_5,4248028d-d89a-4e2
gt_4,1.0,5948,4248028d-d89a-4e2-GT_TOPIC_gt_4,4248028d-d89a-4e2
gt_1,0.6,5,4248028d-d89a-4e2-GT_TOPIC_gt_1,4248028d-d89a-4e2
gt_8,0.4,5,4248028d-d89a-4e2-GT_TOPIC_gt_8,4248028d-d89a-4e2
gt_2,0.6666666666666666,9,4248028d-d89a-4e2-GT_TOPIC_gt_2,4248028d-d89a-4e2
gt_0,0.7777777777777778,9,f849c1a8-0df1-41d-GT_TOPIC_gt_0,f849c1a8-0df1-41d
gt_3,0.9977497749774977,2222,f849c1a8-0df1-41d-GT_TOPIC_gt_3,f849c1a8-0df1-41d
gt_7,0.8,5,f849c1a8-0df1-41d-GT_TOPIC_gt_7,f849c1a8-0df1-41d
gt_9,0.9983202687569989,1786,f849c1a8-0df1-41d-GT_TOPIC_gt_9,f849c1a8-0df1-41d
gt_6,0.2857142857142857,7,f849c1a8-0df1-41d-GT_TOPIC_gt_6,f849c1a8-0df1-41d
gt_5,0.5,4,f849c1a8-0df1-41d-GT_TOPIC_gt_5,f849c1a8-0df1-41d
gt_4,0.9998318762609281,5948,f849c1a8-0df1-41d-GT_TOPIC_gt_4,f849c1a8-0df1-41d
gt_1,0.6,5,f849c1a8-0df1-41d-GT_TOPIC_gt_1,f849c1a8-0df1-41d
gt_8,0.6,5,f849c1a8-0df1-41d-GT_TOPIC_gt_8,f849c1a8-0df1-41d
gt_2,0.6666666666666666,9,f849c1a8-0df1-41d-GT_TOPIC_gt_2,f849c1a8-0df1-41d
gt_0,0.5555555555555556,9,f5026d4c-a845-46a-GT_TOPIC_gt_0,f5026d4c-a845-46a
gt_3,0.9981998199819982,2222,f5026d4c-a845-46a-GT_TOPIC_gt_3,f5026d4c-a845-46a
gt_7,0.8,5,f5026d4c-a845-46a-GT_TOPIC_gt_7,f5026d4c-a845-46a
gt_9,0.9988801791713325,1786,f5026d4c-a845-46a-GT_TOPIC_gt_9,f5026d4c-a845-46a
gt_6,0.42857142857142855,7,f5026d4c-a845-46a-GT_TOPIC_gt_6,f5026d4c-a845-46a
gt_5,0.75,4,f5026d4c-a845-46a-GT_TOPIC_gt_5,f5026d4c-a845-46a
gt_4,0.9996637525218561,5948,f5026d4c-a845-46a-GT_TOPIC_gt_4,f5026d4c-a845-46a
gt_1,0.4,5,f5026d4c-a845-46a-GT_TOPIC_gt_1,f5026d4c-a845-46a
gt_8,0.6,5,f5026d4c-a845-46a-GT_TOPIC_gt_8,f5026d4c-a845-46a
gt_2,0.8888888888888888,9,f5026d4c-a845-46a-GT_TOPIC_gt_2,f5026d4c-a845-46a
gt_0,0.4444444444444444,9,93f55aa1-95b0-47b-GT_TOPIC_gt_0,93f55aa1-95b0-47b
gt_3,0.9945994599459946,2222,93f55aa1-95b0-47b-GT_TOPIC_gt_3,93f55aa1-95b0-47b
gt_7,0.4,5,93f55aa1-95b0-47b-GT_TOPIC_gt_7,93f55aa1-95b0-47b
gt_9,0.879619260918253,1786,93f55aa1-95b0-47b-GT_TOPIC_gt_9,93f55aa1-95b0-47b
gt_6,0.42857142857142855,7,93f55aa1-95b0-47b-GT_TOPIC_gt_6,93f55aa1-95b0-47b
gt_5,0.5,4,93f55aa1-95b0-47b-GT_TOPIC_gt_5,93f55aa1-95b0-47b
gt_4,0.7780766644250168,5948,93f55aa1-95b0-47b-GT_TOPIC_gt_4,93f55aa1-95b0-47b
gt_1,0.6,5,93f55aa1-95b0-47b-GT_TOPIC_gt_1,93f55aa1-95b0-47b
gt_8,0.6,5,93f55aa1-95b0-47b-GT_TOPIC_gt_8,93f55aa1-95b0-47b
gt_2,0.7777777777777778,9,93f55aa1-95b0-47b-GT_TOPIC_gt_2,93f55aa1-95b0-47b
gt_0,0.3333333333333333,9,cb22304f-f920-455-GT_TOPIC_gt_0,cb22304f-f920-455
gt_3,0.9554455445544554,2222,cb22304f-f920-455-GT_TOPIC_gt_3,cb22304f-f920-455
gt_7,0.4,5,cb22304f-f920-455-GT_TOPIC_gt_7,cb22304f-f920-455
gt_9,0.9871220604703248,1786,cb22304f-f920-455-GT_TOPIC_gt_9,cb22304f-f920-455
gt_6,0.5714285714285714,7,cb22304f-f920-455-GT_TOPIC_gt_6,cb22304f-f920-455
gt_5,0.5,4,cb22304f-f920-455-GT_TOPIC_gt_5,cb22304f-f920-455
gt_4,0.6765299260255548,5948,cb22304f-f920-455-GT_TOPIC_gt_4,cb22304f-f920-455
gt_1,0.6,5,cb22304f-f920-455-GT_TOPIC_gt_1,cb22304f-f920-455
gt_8,0.4,5,cb22304f-f920-455-GT_TOPIC_gt_8,cb22304f-f920-455
