category,accuracy,grp_size,gt_id,run_id
pet-chem,0.8947368421052632,19,5a940668-2ef6-4d2-GT_TOPIC_pet-chem,5a940668-2ef6-4d2
ship,0.9305555555555556,144,5a940668-2ef6-4d2-GT_TOPIC_ship,5a940668-2ef6-4d2
sugar,0.8688524590163934,122,5a940668-2ef6-4d2-GT_TOPIC_sugar,5a940668-2ef6-4d2
rice,1.0,1,5a940668-2ef6-4d2-GT_TOPIC_rice,5a940668-2ef6-4d2
zinc,0.6923076923076923,13,5a940668-2ef6-4d2-GT_TOPIC_zinc,5a940668-2ef6-4d2
oilseed,0.8888888888888888,9,5a940668-2ef6-4d2-GT_TOPIC_oilseed,5a940668-2ef6-4d2
gold,0.8777777777777778,90,5a940668-2ef6-4d2-GT_TOPIC_gold,5a940668-2ef6-4d2
reserves,0.5102040816326531,49,5a940668-2ef6-4d2-GT_TOPIC_reserves,5a940668-2ef6-4d2
meal-feed,1.0,11,5a940668-2ef6-4d2-GT_TOPIC_meal-feed,5a940668-2ef6-4d2
lead,0.5,8,5a940668-2ef6-4d2-GT_TOPIC_lead,5a940668-2ef6-4d2
nickel,1.0,4,5a940668-2ef6-4d2-GT_TOPIC_nickel,5a940668-2ef6-4d2
tea,1.0,5,5a940668-2ef6-4d2-GT_TOPIC_tea,5a940668-2ef6-4d2
gas,0.8333333333333334,18,5a940668-2ef6-4d2-GT_TOPIC_gas,5a940668-2ef6-4d2
platinum,1.0,3,5a940668-2ef6-4d2-GT_TOPIC_platinum,5a940668-2ef6-4d2
l-cattle,1.0,1,5a940668-2ef6-4d2-GT_TOPIC_l-cattle,5a940668-2ef6-4d2
trade,0.9263803680981595,326,5a940668-2ef6-4d2-GT_TOPIC_trade,5a940668-2ef6-4d2
potato,0.6,5,5a940668-2ef6-4d2-GT_TOPIC_potato,5a940668-2ef6-4d2
grain,0.8627450980392157,51,5a940668-2ef6-4d2-GT_TOPIC_grain,5a940668-2ef6-4d2
jobs,0.6530612244897959,49,5a940668-2ef6-4d2-GT_TOPIC_jobs,5a940668-2ef6-4d2
gnp,0.8783783783783784,74,5a940668-2ef6-4d2-GT_TOPIC_gnp,5a940668-2ef6-4d2
cpu,0.5,4,5a940668-2ef6-4d2-GT_TOPIC_cpu,5a940668-2ef6-4d2
coffee,0.9553571428571429,112,5a940668-2ef6-4d2-GT_TOPIC_coffee,5a940668-2ef6-4d2
lei,0.5714285714285714,14,5a940668-2ef6-4d2-GT_TOPIC_lei,5a940668-2ef6-4d2
rubber,1.0,40,5a940668-2ef6-4d2-GT_TOPIC_rubber,5a940668-2ef6-4d2
housing,0.7647058823529411,17,5a940668-2ef6-4d2-GT_TOPIC_housing,5a940668-2ef6-4d2
cpi,0.704225352112676,71,5a940668-2ef6-4d2-GT_TOPIC_cpi,5a940668-2ef6-4d2
cocoa,0.7704918032786885,61,5a940668-2ef6-4d2-GT_TOPIC_cocoa,5a940668-2ef6-4d2
bop,0.4838709677419355,31,5a940668-2ef6-4d2-GT_TOPIC_bop,5a940668-2ef6-4d2
strategic-metal,0.8666666666666667,15,5a940668-2ef6-4d2-GT_TOPIC_strategic-metal,5a940668-2ef6-4d2
income,0.5454545454545454,11,5a940668-2ef6-4d2-GT_TOPIC_income,5a940668-2ef6-4d2
nat-gas,0.9166666666666666,36,5a940668-2ef6-4d2-GT_TOPIC_nat-gas,5a940668-2ef6-4d2
dmk,1.0,1,5a940668-2ef6-4d2-GT_TOPIC_dmk,5a940668-2ef6-4d2
veg-oil,0.8666666666666667,30,5a940668-2ef6-4d2-GT_TOPIC_veg-oil,5a940668-2ef6-4d2
carcass,0.9090909090909091,11,5a940668-2ef6-4d2-GT_TOPIC_carcass,5a940668-2ef6-4d2
copper,0.6363636363636364,44,5a940668-2ef6-4d2-GT_TOPIC_copper,5a940668-2ef6-4d2
tin,1.0,27,5a940668-2ef6-4d2-GT_TOPIC_tin,5a940668-2ef6-4d2
dlr,1.0,6,5a940668-2ef6-4d2-GT_TOPIC_dlr,5a940668-2ef6-4d2
groundnut,1.0,2,5a940668-2ef6-4d2-GT_TOPIC_groundnut,5a940668-2ef6-4d2
acq,0.8704188481675392,2292,5a940668-2ef6-4d2-GT_TOPIC_acq,5a940668-2ef6-4d2
alum,0.86,50,5a940668-2ef6-4d2-GT_TOPIC_alum,5a940668-2ef6-4d2
iron-steel,0.9473684210526315,38,5a940668-2ef6-4d2-GT_TOPIC_iron-steel,5a940668-2ef6-4d2
money-supply,0.3443708609271523,151,5a940668-2ef6-4d2-GT_TOPIC_money-supply,5a940668-2ef6-4d2
silver,0.75,4,5a940668-2ef6-4d2-GT_TOPIC_silver,5a940668-2ef6-4d2
cotton,0.875,24,5a940668-2ef6-4d2-GT_TOPIC_cotton,5a940668-2ef6-4d2
wpi,0.8260869565217391,23,5a940668-2ef6-4d2-GT_TOPIC_wpi,5a940668-2ef6-4d2
lumber,1.0,14,5a940668-2ef6-4d2-GT_TOPIC_lumber,5a940668-2ef6-4d2
nzdlr,1.0,1,5a940668-2ef6-4d2-GT_TOPIC_nzdlr,5a940668-2ef6-4d2
coconut,1.0,1,5a940668-2ef6-4d2-GT_TOPIC_coconut,5a940668-2ef6-4d2
earn,0.5832271221004334,3923,5a940668-2ef6-4d2-GT_TOPIC_earn,5a940668-2ef6-4d2
propane,1.0,1,5a940668-2ef6-4d2-GT_TOPIC_propane,5a940668-2ef6-4d2
orange,0.8181818181818182,22,5a940668-2ef6-4d2-GT_TOPIC_orange,5a940668-2ef6-4d2
jet,1.0,3,5a940668-2ef6-4d2-GT_TOPIC_jet,5a940668-2ef6-4d2
rand,1.0,1,5a940668-2ef6-4d2-GT_TOPIC_rand,5a940668-2ef6-4d2
fuel,0.6363636363636364,11,5a940668-2ef6-4d2-GT_TOPIC_fuel,5a940668-2ef6-4d2
interest,0.7316176470588235,272,5a940668-2ef6-4d2-GT_TOPIC_interest,5a940668-2ef6-4d2
money-fx,0.7637540453074434,309,5a940668-2ef6-4d2-GT_TOPIC_money-fx,5a940668-2ef6-4d2
livestock,0.7727272727272727,22,5a940668-2ef6-4d2-GT_TOPIC_livestock,5a940668-2ef6-4d2
naphtha,1.0,1,5a940668-2ef6-4d2-GT_TOPIC_naphtha,5a940668-2ef6-4d2
hog,1.0,1,5a940668-2ef6-4d2-GT_TOPIC_hog,5a940668-2ef6-4d2
ipi,0.5777777777777777,45,5a940668-2ef6-4d2-GT_TOPIC_ipi,5a940668-2ef6-4d2
instal-debt,0.6666666666666666,6,5a940668-2ef6-4d2-GT_TOPIC_instal-debt,5a940668-2ef6-4d2
crude,0.7834224598930482,374,5a940668-2ef6-4d2-GT_TOPIC_crude,5a940668-2ef6-4d2
heat,0.7,10,5a940668-2ef6-4d2-GT_TOPIC_heat,5a940668-2ef6-4d2
retail,0.65,20,5a940668-2ef6-4d2-GT_TOPIC_retail,5a940668-2ef6-4d2
yen,1.0,6,5a940668-2ef6-4d2-GT_TOPIC_yen,5a940668-2ef6-4d2
pet-chem,0.7368421052631579,19,de6cd6f9-901d-464-GT_TOPIC_pet-chem,de6cd6f9-901d-464
ship,0.7986111111111112,144,de6cd6f9-901d-464-GT_TOPIC_ship,de6cd6f9-901d-464
sugar,0.7704918032786885,122,de6cd6f9-901d-464-GT_TOPIC_sugar,de6cd6f9-901d-464
rice,1.0,1,de6cd6f9-901d-464-GT_TOPIC_rice,de6cd6f9-901d-464
zinc,0.6153846153846154,13,de6cd6f9-901d-464-GT_TOPIC_zinc,de6cd6f9-901d-464
oilseed,0.8888888888888888,9,de6cd6f9-901d-464-GT_TOPIC_oilseed,de6cd6f9-901d-464
gold,0.8111111111111111,90,de6cd6f9-901d-464-GT_TOPIC_gold,de6cd6f9-901d-464
reserves,0.5918367346938775,49,de6cd6f9-901d-464-GT_TOPIC_reserves,de6cd6f9-901d-464
meal-feed,0.9090909090909091,11,de6cd6f9-901d-464-GT_TOPIC_meal-feed,de6cd6f9-901d-464
lead,0.5,8,de6cd6f9-901d-464-GT_TOPIC_lead,de6cd6f9-901d-464
nickel,0.75,4,de6cd6f9-901d-464-GT_TOPIC_nickel,de6cd6f9-901d-464
tea,0.8,5,de6cd6f9-901d-464-GT_TOPIC_tea,de6cd6f9-901d-464
gas,0.8888888888888888,18,de6cd6f9-901d-464-GT_TOPIC_gas,de6cd6f9-901d-464
platinum,1.0,3,de6cd6f9-901d-464-GT_TOPIC_platinum,de6cd6f9-901d-464
l-cattle,1.0,1,de6cd6f9-901d-464-GT_TOPIC_l-cattle,de6cd6f9-901d-464
trade,0.8711656441717791,326,de6cd6f9-901d-464-GT_TOPIC_trade,de6cd6f9-901d-464
potato,0.8,5,de6cd6f9-901d-464-GT_TOPIC_potato,de6cd6f9-901d-464
grain,0.8235294117647058,51,de6cd6f9-901d-464-GT_TOPIC_grain,de6cd6f9-901d-464
jobs,0.5510204081632653,49,de6cd6f9-901d-464-GT_TOPIC_jobs,de6cd6f9-901d-464
gnp,0.8378378378378378,74,de6cd6f9-901d-464-GT_TOPIC_gnp,de6cd6f9-901d-464
cpu,0.75,4,de6cd6f9-901d-464-GT_TOPIC_cpu,de6cd6f9-901d-464
coffee,0.8839285714285714,112,de6cd6f9-901d-464-GT_TOPIC_coffee,de6cd6f9-901d-464
lei,0.7142857142857143,14,de6cd6f9-901d-464-GT_TOPIC_lei,de6cd6f9-901d-464
rubber,0.875,40,de6cd6f9-901d-464-GT_TOPIC_rubber,de6cd6f9-901d-464
housing,0.5294117647058824,17,de6cd6f9-901d-464-GT_TOPIC_housing,de6cd6f9-901d-464
cpi,0.7746478873239436,71,de6cd6f9-901d-464-GT_TOPIC_cpi,de6cd6f9-901d-464
cocoa,0.819672131147541,61,de6cd6f9-901d-464-GT_TOPIC_cocoa,de6cd6f9-901d-464
bop,0.7096774193548387,31,de6cd6f9-901d-464-GT_TOPIC_bop,de6cd6f9-901d-464
strategic-metal,0.8,15,de6cd6f9-901d-464-GT_TOPIC_strategic-metal,de6cd6f9-901d-464
income,0.7272727272727273,11,de6cd6f9-901d-464-GT_TOPIC_income,de6cd6f9-901d-464
nat-gas,0.8888888888888888,36,de6cd6f9-901d-464-GT_TOPIC_nat-gas,de6cd6f9-901d-464
dmk,1.0,1,de6cd6f9-901d-464-GT_TOPIC_dmk,de6cd6f9-901d-464
veg-oil,0.9333333333333333,30,de6cd6f9-901d-464-GT_TOPIC_veg-oil,de6cd6f9-901d-464
carcass,0.9090909090909091,11,de6cd6f9-901d-464-GT_TOPIC_carcass,de6cd6f9-901d-464
copper,0.5909090909090909,44,de6cd6f9-901d-464-GT_TOPIC_copper,de6cd6f9-901d-464
tin,1.0,27,de6cd6f9-901d-464-GT_TOPIC_tin,de6cd6f9-901d-464
dlr,1.0,6,de6cd6f9-901d-464-GT_TOPIC_dlr,de6cd6f9-901d-464
groundnut,1.0,2,de6cd6f9-901d-464-GT_TOPIC_groundnut,de6cd6f9-901d-464
acq,0.824607329842932,2292,de6cd6f9-901d-464-GT_TOPIC_acq,de6cd6f9-901d-464
alum,0.72,50,de6cd6f9-901d-464-GT_TOPIC_alum,de6cd6f9-901d-464
iron-steel,0.9473684210526315,38,de6cd6f9-901d-464-GT_TOPIC_iron-steel,de6cd6f9-901d-464
money-supply,0.3509933774834437,151,de6cd6f9-901d-464-GT_TOPIC_money-supply,de6cd6f9-901d-464
silver,0.75,4,de6cd6f9-901d-464-GT_TOPIC_silver,de6cd6f9-901d-464
cotton,0.9166666666666666,24,de6cd6f9-901d-464-GT_TOPIC_cotton,de6cd6f9-901d-464
wpi,0.8695652173913043,23,de6cd6f9-901d-464-GT_TOPIC_wpi,de6cd6f9-901d-464
lumber,0.9285714285714286,14,de6cd6f9-901d-464-GT_TOPIC_lumber,de6cd6f9-901d-464
nzdlr,1.0,1,de6cd6f9-901d-464-GT_TOPIC_nzdlr,de6cd6f9-901d-464
coconut,1.0,1,de6cd6f9-901d-464-GT_TOPIC_coconut,de6cd6f9-901d-464
earn,0.5702268671934744,3923,de6cd6f9-901d-464-GT_TOPIC_earn,de6cd6f9-901d-464
propane,1.0,1,de6cd6f9-901d-464-GT_TOPIC_propane,de6cd6f9-901d-464
orange,0.7272727272727273,22,de6cd6f9-901d-464-GT_TOPIC_orange,de6cd6f9-901d-464
jet,1.0,3,de6cd6f9-901d-464-GT_TOPIC_jet,de6cd6f9-901d-464
rand,1.0,1,de6cd6f9-901d-464-GT_TOPIC_rand,de6cd6f9-901d-464
fuel,0.7272727272727273,11,de6cd6f9-901d-464-GT_TOPIC_fuel,de6cd6f9-901d-464
interest,0.5514705882352942,272,de6cd6f9-901d-464-GT_TOPIC_interest,de6cd6f9-901d-464
money-fx,0.7411003236245954,309,de6cd6f9-901d-464-GT_TOPIC_money-fx,de6cd6f9-901d-464
livestock,0.7727272727272727,22,de6cd6f9-901d-464-GT_TOPIC_livestock,de6cd6f9-901d-464
naphtha,1.0,1,de6cd6f9-901d-464-GT_TOPIC_naphtha,de6cd6f9-901d-464
hog,1.0,1,de6cd6f9-901d-464-GT_TOPIC_hog,de6cd6f9-901d-464
ipi,0.6444444444444445,45,de6cd6f9-901d-464-GT_TOPIC_ipi,de6cd6f9-901d-464
instal-debt,0.8333333333333334,6,de6cd6f9-901d-464-GT_TOPIC_instal-debt,de6cd6f9-901d-464
crude,0.7459893048128342,374,de6cd6f9-901d-464-GT_TOPIC_crude,de6cd6f9-901d-464
heat,0.8,10,de6cd6f9-901d-464-GT_TOPIC_heat,de6cd6f9-901d-464
retail,0.55,20,de6cd6f9-901d-464-GT_TOPIC_retail,de6cd6f9-901d-464
yen,1.0,6,de6cd6f9-901d-464-GT_TOPIC_yen,de6cd6f9-901d-464
pet-chem,0.5789473684210527,19,2a1b2d1d-1666-47f-GT_TOPIC_pet-chem,2a1b2d1d-1666-47f
ship,0.7083333333333334,144,2a1b2d1d-1666-47f-GT_TOPIC_ship,2a1b2d1d-1666-47f
sugar,0.7459016393442623,122,2a1b2d1d-1666-47f-GT_TOPIC_sugar,2a1b2d1d-1666-47f
rice,1.0,1,2a1b2d1d-1666-47f-GT_TOPIC_rice,2a1b2d1d-1666-47f
zinc,0.6153846153846154,13,2a1b2d1d-1666-47f-GT_TOPIC_zinc,2a1b2d1d-1666-47f
oilseed,0.8888888888888888,9,2a1b2d1d-1666-47f-GT_TOPIC_oilseed,2a1b2d1d-1666-47f
gold,0.6555555555555556,90,2a1b2d1d-1666-47f-GT_TOPIC_gold,2a1b2d1d-1666-47f
reserves,0.6938775510204082,49,2a1b2d1d-1666-47f-GT_TOPIC_reserves,2a1b2d1d-1666-47f
meal-feed,1.0,11,2a1b2d1d-1666-47f-GT_TOPIC_meal-feed,2a1b2d1d-1666-47f
lead,0.5,8,2a1b2d1d-1666-47f-GT_TOPIC_lead,2a1b2d1d-1666-47f
nickel,1.0,4,2a1b2d1d-1666-47f-GT_TOPIC_nickel,2a1b2d1d-1666-47f
tea,0.8,5,2a1b2d1d-1666-47f-GT_TOPIC_tea,2a1b2d1d-1666-47f
gas,0.6666666666666666,18,2a1b2d1d-1666-47f-GT_TOPIC_gas,2a1b2d1d-1666-47f
platinum,1.0,3,2a1b2d1d-1666-47f-GT_TOPIC_platinum,2a1b2d1d-1666-47f
l-cattle,1.0,1,2a1b2d1d-1666-47f-GT_TOPIC_l-cattle,2a1b2d1d-1666-47f
trade,0.8282208588957055,326,2a1b2d1d-1666-47f-GT_TOPIC_trade,2a1b2d1d-1666-47f
potato,0.6,5,2a1b2d1d-1666-47f-GT_TOPIC_potato,2a1b2d1d-1666-47f
grain,0.7647058823529411,51,2a1b2d1d-1666-47f-GT_TOPIC_grain,2a1b2d1d-1666-47f
jobs,0.6122448979591837,49,2a1b2d1d-1666-47f-GT_TOPIC_jobs,2a1b2d1d-1666-47f
gnp,0.7162162162162162,74,2a1b2d1d-1666-47f-GT_TOPIC_gnp,2a1b2d1d-1666-47f
cpu,0.75,4,2a1b2d1d-1666-47f-GT_TOPIC_cpu,2a1b2d1d-1666-47f
coffee,0.7678571428571429,112,2a1b2d1d-1666-47f-GT_TOPIC_coffee,2a1b2d1d-1666-47f
lei,0.8571428571428571,14,2a1b2d1d-1666-47f-GT_TOPIC_lei,2a1b2d1d-1666-47f
rubber,0.85,40,2a1b2d1d-1666-47f-GT_TOPIC_rubber,2a1b2d1d-1666-47f
housing,0.6470588235294118,17,2a1b2d1d-1666-47f-GT_TOPIC_housing,2a1b2d1d-1666-47f
cpi,0.676056338028169,71,2a1b2d1d-1666-47f-GT_TOPIC_cpi,2a1b2d1d-1666-47f
cocoa,0.5737704918032787,61,2a1b2d1d-1666-47f-GT_TOPIC_cocoa,2a1b2d1d-1666-47f
bop,0.7419354838709677,31,2a1b2d1d-1666-47f-GT_TOPIC_bop,2a1b2d1d-1666-47f
strategic-metal,0.7333333333333333,15,2a1b2d1d-1666-47f-GT_TOPIC_strategic-metal,2a1b2d1d-1666-47f
income,1.0,11,2a1b2d1d-1666-47f-GT_TOPIC_income,2a1b2d1d-1666-47f
nat-gas,0.9166666666666666,36,2a1b2d1d-1666-47f-GT_TOPIC_nat-gas,2a1b2d1d-1666-47f
dmk,1.0,1,2a1b2d1d-1666-47f-GT_TOPIC_dmk,2a1b2d1d-1666-47f
veg-oil,0.9,30,2a1b2d1d-1666-47f-GT_TOPIC_veg-oil,2a1b2d1d-1666-47f
carcass,0.9090909090909091,11,2a1b2d1d-1666-47f-GT_TOPIC_carcass,2a1b2d1d-1666-47f
copper,0.5,44,2a1b2d1d-1666-47f-GT_TOPIC_copper,2a1b2d1d-1666-47f
tin,0.9629629629629629,27,2a1b2d1d-1666-47f-GT_TOPIC_tin,2a1b2d1d-1666-47f
dlr,1.0,6,2a1b2d1d-1666-47f-GT_TOPIC_dlr,2a1b2d1d-1666-47f
