category,accuracy,grp_size,gt_id,run_id
lei,0.5714285714285714,14,f4b610f9-5bfd-499-GT_TOPIC_lei,f4b610f9-5bfd-499
nzdlr,1.0,1,f4b610f9-5bfd-499-GT_TOPIC_nzdlr,f4b610f9-5bfd-499
nickel,1.0,4,f4b610f9-5bfd-499-GT_TOPIC_nickel,f4b610f9-5bfd-499
gold,0.8777777777777778,90,f4b610f9-5bfd-499-GT_TOPIC_gold,f4b610f9-5bfd-499
naphtha,1.0,1,f4b610f9-5bfd-499-GT_TOPIC_naphtha,f4b610f9-5bfd-499
jet,1.0,3,f4b610f9-5bfd-499-GT_TOPIC_jet,f4b610f9-5bfd-499
livestock,0.7727272727272727,22,f4b610f9-5bfd-499-GT_TOPIC_livestock,f4b610f9-5bfd-499
money-fx,0.7637540453074434,309,f4b610f9-5bfd-499-GT_TOPIC_money-fx,f4b610f9-5bfd-499
earn,0.5832271221004334,3923,f4b610f9-5bfd-499-GT_TOPIC_earn,f4b610f9-5bfd-499
yen,1.0,6,f4b610f9-5bfd-499-GT_TOPIC_yen,f4b610f9-5bfd-499
copper,0.6363636363636364,44,f4b610f9-5bfd-499-GT_TOPIC_copper,f4b610f9-5bfd-499
lead,0.5,8,f4b610f9-5bfd-499-GT_TOPIC_lead,f4b610f9-5bfd-499
iron-steel,0.9473684210526315,38,f4b610f9-5bfd-499-GT_TOPIC_iron-steel,f4b610f9-5bfd-499
instal-debt,0.6666666666666666,6,f4b610f9-5bfd-499-GT_TOPIC_instal-debt,f4b610f9-5bfd-499
dmk,1.0,1,f4b610f9-5bfd-499-GT_TOPIC_dmk,f4b610f9-5bfd-499
tin,1.0,27,f4b610f9-5bfd-499-GT_TOPIC_tin,f4b610f9-5bfd-499
interest,0.7316176470588235,272,f4b610f9-5bfd-499-GT_TOPIC_interest,f4b610f9-5bfd-499
cpu,0.5,4,f4b610f9-5bfd-499-GT_TOPIC_cpu,f4b610f9-5bfd-499
jobs,0.6530612244897959,49,f4b610f9-5bfd-499-GT_TOPIC_jobs,f4b610f9-5bfd-499
grain,0.8627450980392157,51,f4b610f9-5bfd-499-GT_TOPIC_grain,f4b610f9-5bfd-499
housing,0.7647058823529411,17,f4b610f9-5bfd-499-GT_TOPIC_housing,f4b610f9-5bfd-499
nat-gas,0.9166666666666666,36,f4b610f9-5bfd-499-GT_TOPIC_nat-gas,f4b610f9-5bfd-499
