"run_id","action_impact","action_type","action_details","action_details_short","metric","metric_score"
"4248028d-d89a-4e2","prep","Remove All stop terms from default list","Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't","d8fab23593f783d29d5c40a0fd926937","accuracy_overall",0.754660909220021
"4248028d-d89a-4e2","prep","Remove All stop terms from default list","Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't","d8fab23593f783d29d5c40a0fd926937","accuracy_overall_weighted",0.9983
"4248028d-d89a-4e2","prep","Remove All stop terms from default list","Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't","d8fab23593f783d29d5c40a0fd926937","f1",0.425525193492339
"4248028d-d89a-4e2","prep","Remove All stop terms from default list","Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't","d8fab23593f783d29d5c40a0fd926937","fmi",0.660547825655398
"4248028d-d89a-4e2","prep","Remove All stop terms from default list","Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't","d8fab23593f783d29d5c40a0fd926937","silhouette_overall",0.0174045848200524
"4248028d-d89a-4e2","prep","Remove All stop terms from default list","Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't","d8fab23593f783d29d5c40a0fd926937","homogeneity",0.0106837926011986
"4248028d-d89a-4e2","prep","Remove All stop terms from default list","Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't","d8fab23593f783d29d5c40a0fd926937","completness",0.662058581419568
"4248028d-d89a-4e2","prep","Remove All stop terms from default list","Removed the following All stop termsi;me;my;myself;we;our;ours;ourselves;you;you're;you've;you'll;you'd;your;yours;yourself;yourselves;he;him;his;himself;she;she's;her;hers;herself;it;it's;its;itself;they;them;their;theirs;themselves;what;which;who;whom;this;that;that'll;these;those;am;is;are;was;were;be;been;being;have;has;had;having;do;does;did;doing;a;an;the;and;but;if;or;because;as;until;while;of;at;by;for;with;about;against;between;into;through;during;before;after;above;below;to;from;up;down;in;out;on;off;over;under;again;further;then;once;here;there;when;where;why;how;all;any;both;each;few;more;most;other;some;such;no;nor;not;only;own;same;so;than;too;very;s;t;can;will;just;don;don't;should;should've;now;d;ll;m;o;re;ve;y;ain;aren;aren't;couldn;couldn't;didn;didn't;doesn;doesn't;hadn;hadn't;hasn;hasn't;haven;haven't;isn;isn't;ma;mightn;mightn't;mustn;mustn't;needn;needn't;shan;shan't;shouldn;shouldn't;wasn;wasn't;weren;weren't;won;won't;wouldn;wouldn't","d8fab23593f783d29d5c40a0fd926937","v_measure",0.0210282475041837
"bd240941-73b7-431","prep","Remove N stop terms from default list","Removed the following 160 stop termsthat;up;yours;by;down;are;shouldn;just;his;her;isn;below;own;who;them;the;having;had;after","1b4696386add83cec2a77669dd410e48","accuracy_overall",0.701691670393259
"bd240941-73b7-431","prep","Remove N stop terms from default list","Removed the following 160 stop termsthat;up;yours;by;down;are;shouldn;just;his;her;isn;below;own;who;them;the;having;had;after","1b4696386add83cec2a77669dd410e48","accuracy_overall_weighted",0.8894
