"run_id","action_impact","action_type","metric","metric_score"
"baseline_run","baseline","baseline","accuracy_overall",0.827727598990015
"baseline_run","baseline","baseline","accuracy_overall_weighted",0.661899563318777
"baseline_run","baseline","baseline","f1",0.37390988372093
"baseline_run","baseline","baseline","fmi",0.383293330389942
"baseline_run","baseline","baseline","silhouette_overall",0.0329421776922304
"baseline_run","baseline","baseline","homogeneity",0.287863189182813
"baseline_run","baseline","baseline","completness",0.319060539597704
"baseline_run","baseline","baseline","v_measure",0.302660054684396
"f4b610f9-5bfd-499","prep","Remove All stop terms from default list","accuracy_overall",0.824079908354617
"f4b610f9-5bfd-499","prep","Remove All stop terms from default list","accuracy_overall_weighted",0.721397379912664
"f4b610f9-5bfd-499","prep","Remove All stop terms from default list","f1",0.405908798972383
"f4b610f9-5bfd-499","prep","Remove All stop terms from default list","fmi",0.406480560878249
"f4b610f9-5bfd-499","prep","Remove All stop terms from default list","silhouette_overall",0.0337706191914811
"f4b610f9-5bfd-499","prep","Remove All stop terms from default list","homogeneity",0.266834920332625
"f4b610f9-5bfd-499","prep","Remove All stop terms from default list","completness",0.357436866562627
"f4b610f9-5bfd-499","prep","Remove All stop terms from default list","v_measure",0.305561262947753
"faf6ca10-4e2d-442","prep","Remove N stop terms from default list","accuracy_overall",0.621000277317221
"faf6ca10-4e2d-442","prep","Remove N stop terms from default list","accuracy_overall_weighted",0.439301310043668
"faf6ca10-4e2d-442","prep","Remove N stop terms from default list","f1",0.34367279714521
"faf6ca10-4e2d-442","prep","Remove N stop terms from default list","fmi",0.365299423898066
"faf6ca10-4e2d-442","prep","Remove N stop terms from default list","silhouette_overall",0.0189139652672413
"faf6ca10-4e2d-442","prep","Remove N stop terms from default list","homogeneity",0.418439940334418
"faf6ca10-4e2d-442","prep","Remove N stop terms from default list","completness",0.324509799161761
"faf6ca10-4e2d-442","prep","Remove N stop terms from default list","v_measure",0.365537138733675
"5aef5c79-4294-4f3","prep","Remove N stop terms from default list","accuracy_overall",0.78387874398053
"5aef5c79-4294-4f3","prep","Remove N stop terms from default list","accuracy_overall_weighted",0.659825327510917
"5aef5c79-4294-4f3","prep","Remove N stop terms from default list","f1",0.396053558844257
"5aef5c79-4294-4f3","prep","Remove N stop terms from default list","fmi",0.384563402677121
"5aef5c79-4294-4f3","prep","Remove N stop terms from default list","silhouette_overall",0.0210817854483911
"5aef5c79-4294-4f3","prep","Remove N stop terms from default list","homogeneity",0.290328470223957
"5aef5c79-4294-4f3","prep","Remove N stop terms from default list","completness",0.332692404659212
"5aef5c79-4294-4f3","prep","Remove N stop terms from default list","v_measure",0.310070114160947
"890c4546-8669-4e3","prep","Add N stop words to default list","accuracy_overall",0.866636993015325
"890c4546-8669-4e3","prep","Add N stop words to default list","accuracy_overall_weighted",0.709825327510917
"890c4546-8669-4e3","prep","Add N stop words to default list","f1",0.389470345702506
"890c4546-8669-4e3","prep","Add N stop words to default list","fmi",0.388245813458892
"890c4546-8669-4e3","prep","Add N stop words to default list","silhouette_overall",0.0325311223512145
"890c4546-8669-4e3","prep","Add N stop words to default list","homogeneity",0.248871943629213
"890c4546-8669-4e3","prep","Add N stop words to default list","completness",0.325896407873104
"890c4546-8669-4e3","prep","Add N stop words to default list","v_measure",0.282223167775901
"5fd2f1fd-3467-4ab","prep","Add N stop words to default list","accuracy_overall",0.635844752171518
"5fd2f1fd-3467-4ab","prep","Add N stop words to default list","accuracy_overall_weighted",0.614519650655022
"5fd2f1fd-3467-4ab","prep","Add N stop words to default list","f1",0.515328808799438
"5fd2f1fd-3467-4ab","prep","Add N stop words to default list","fmi",0.520738159989231
"5fd2f1fd-3467-4ab","prep","Add N stop words to default list","silhouette_overall",0.0481038979011581
"5fd2f1fd-3467-4ab","prep","Add N stop words to default list","homogeneity",0.4109596262777
"5fd2f1fd-3467-4ab","prep","Add N stop words to default list","completness",0.373075306732427
"5fd2f1fd-3467-4ab","prep","Add N stop words to default list","v_measure",0.391102187346584
"cbfe13ea-e8e2-4c5","prep","Remove rare words","accuracy_overall",0.670098340851675
"cbfe13ea-e8e2-4c5","prep","Remove rare words","accuracy_overall_weighted",0.431877729257642
"cbfe13ea-e8e2-4c5","prep","Remove rare words","f1",0.293903074517978
"cbfe13ea-e8e2-4c5","prep","Remove rare words","fmi",0.319708054178441
"cbfe13ea-e8e2-4c5","prep","Remove rare words","silhouette_overall",0.0112647255857352
"cbfe13ea-e8e2-4c5","prep","Remove rare words","homogeneity",0.452983098274494
"cbfe13ea-e8e2-4c5","prep","Remove rare words","completness",0.35925046464001
"cbfe13ea-e8e2-4c5","prep","Remove rare words","v_measure",0.400708357692707
"cb92a305-f25a-445","prep","Remove rare words","accuracy_overall",0.442674835422013
"cb92a305-f25a-445","prep","Remove rare words","accuracy_overall_weighted",0.206004366812227
"cb92a305-f25a-445","prep","Remove rare words","f1",0.129481378350157
"cb92a305-f25a-445","prep","Remove rare words","fmi",0.200740942097939
"cb92a305-f25a-445","prep","Remove rare words","silhouette_overall",0.0621807664675511
"cb92a305-f25a-445","prep","Remove rare words","homogeneity",0.433340312255419
"cb92a305-f25a-445","prep","Remove rare words","completness",0.249187323920258
"cb92a305-f25a-445","prep","Remove rare words","v_measure",0.316420631295589
"e61570d4-a8bb-4a2","prep","Remove ubiqitous words","accuracy_overall",0.827727598990015
"e61570d4-a8bb-4a2","prep","Remove ubiqitous words","accuracy_overall_weighted",0.661899563318777
"e61570d4-a8bb-4a2","prep","Remove ubiqitous words","f1",0.371259630890521
"e61570d4-a8bb-4a2","prep","Remove ubiqitous words","fmi",0.383293330389942
"e61570d4-a8bb-4a2","prep","Remove ubiqitous words","silhouette_overall",0.0329421776922304
"e61570d4-a8bb-4a2","prep","Remove ubiqitous words","homogeneity",0.287863189182813
"e61570d4-a8bb-4a2","prep","Remove ubiqitous words","completness",0.319060539597704
"e61570d4-a8bb-4a2","prep","Remove ubiqitous words","v_measure",0.302660054684396
"c7eb2404-009a-416","prep","Remove ubiqitous words","accuracy_overall",0.827727598990015
"c7eb2404-009a-416","prep","Remove ubiqitous words","accuracy_overall_weighted",0.661899563318777
"c7eb2404-009a-416","prep","Remove ubiqitous words","f1",0.376727272727273
"c7eb2404-009a-416","prep","Remove ubiqitous words","fmi",0.383293330389942
"c7eb2404-009a-416","prep","Remove ubiqitous words","silhouette_overall",0.0329421776922304
"c7eb2404-009a-416","prep","Remove ubiqitous words","homogeneity",0.287863189182813
"c7eb2404-009a-416","prep","Remove ubiqitous words","completness",0.319060539597704
"c7eb2404-009a-416","prep","Remove ubiqitous words","v_measure",0.302660054684396
"51c60894-0b8e-464","prep","Remove ubiqitous words","accuracy_overall",0.715064449269842
"51c60894-0b8e-464","prep","Remove ubiqitous words","accuracy_overall_weighted",0.621288209606987
"51c60894-0b8e-464","prep","Remove ubiqitous words","f1",0.407504539035707
"51c60894-0b8e-464","prep","Remove ubiqitous words","fmi",0.405547617727825
"51c60894-0b8e-464","prep","Remove ubiqitous words","silhouette_overall",0.0393902457754784
"51c60894-0b8e-464","prep","Remove ubiqitous words","homogeneity",0.328778671786426
"51c60894-0b8e-464","prep","Remove ubiqitous words","completness",0.320775960811346
"51c60894-0b8e-464","prep","Remove ubiqitous words","v_measure",0.324728018380176
"e1d07b36-2945-4d5","prep","Do not stem words","accuracy_overall",0.784610760241906
"e1d07b36-2945-4d5","prep","Do not stem words","accuracy_overall_weighted",0.679803493449782
"e1d07b36-2945-4d5","prep","Do not stem words","f1",0.402701715954728
"e1d07b36-2945-4d5","prep","Do not stem words","fmi",0.404832641548703
"e1d07b36-2945-4d5","prep","Do not stem words","silhouette_overall",0.0425330412706698
"e1d07b36-2945-4d5","prep","Do not stem words","homogeneity",0.289404844293497
"e1d07b36-2945-4d5","prep","Do not stem words","completness",0.323979543005344
"e1d07b36-2945-4d5","prep","Do not stem words","v_measure",0.305717755910404
"a4570aa7-a8f9-467","prep","Remove documents from corpus","accuracy_overall",0.576255214057095
"a4570aa7-a8f9-467","prep","Remove documents from corpus","accuracy_overall_weighted",0.516448326055313
